LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-03-18 09:14:38,1900-01-00 00:00:00,,40:AE:30:6A:AA:02,-29, ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:38,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:38,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:41,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:41,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:41,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:41,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:41,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:41,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:41,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:41,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:41,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:41,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:42,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:42,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:43,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:43,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:43,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:45,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:46,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:46,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:47,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:47,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:48,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:49,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:49,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:50,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:50,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:50,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:50,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:50,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:50,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:50,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:51,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:54,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:54,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:54,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:54,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:54,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:54,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:55,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:56,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:56,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:57,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:57,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:57,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:57,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:57,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:58,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:58,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:58,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:58,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:58,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:58,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:58,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:58,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:58,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:58,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:14:58,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:00,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:00,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:01,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:01,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:02,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:03,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:03,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:03,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:04,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:04,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:05,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:05,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:05,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:05,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:06,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:07,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:07,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:07,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:08,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:08,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:08,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:09,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:10,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:10,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:11,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:11,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:11,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:11,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:11,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-22, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:11,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:12,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:13,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:13,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:13,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:13,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:14,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:14,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:14,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:15,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:15,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:15,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:15,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:15,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:15,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:16,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:16,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:16,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-03-18 09:15:17,1900-01-00 00:00:00,CYB_Rogue,40:AE:30:6A:AA:02,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
